Ensembl_gene	Cancer_type	Gene_name	Driver in the same cancer	Driver in other cancer	Prognostic in the same cancer	Prognostic in other cancer	freq
ENSG00000095015	TCGA-UCEC	MAP3K1	1	1	0	0	149
ENSG00000115760	TCGA-PCPG	BIRC6	1	1	0	0	148
ENSG00000141646	TCGA-STAD	SMAD4	1	1	0	0	145
ENSG00000139618	TCGA-OV	BRCA2	1	1	1	1	144
ENSG00000049618	TCGA-PAAD	ARID1B	1	1	0	0	142
ENSG00000079999	TCGA-KIRC	KEAP1	1	1	0	0	142
ENSG00000105976	TCGA-LGG	MET	1	1	0	1	142
ENSG00000065361	TCGA-UCEC	ERBB3	1	1	0	1	142
ENSG00000183337	TCGA-UCS	BCOR	1	1	0	0	137
ENSG00000118058	TCGA-OV	KMT2A	1	1	0	0	137
ENSG00000134086	TCGA-KIRC	VHL	1	1	1	1	127
ENSG00000168036	TCGA-ACC	CTNNB1	1	1	1	0	127
ENSG00000105568	TCGA-OV	PPP2R1A	1	1	0	0	125
ENSG00000100345	TCGA-OV	MYH9	1	1	0	0	123
ENSG00000005339	TCGA-LUSC	CREBBP	1	1	0	0	122
ENSG00000157404	TCGA-TGCT	KIT	1	1	1	1	121
ENSG00000046889	TCGA-BRCA	PREX2	1	1	0	0	117
ENSG00000165731	TCGA-PCPG	RET	1	1	0	1	117
ENSG00000133392	TCGA-LGG	MYH11	1	1	0	0	117
ENSG00000169032	TCGA-BLCA	MAP2K1	1	1	0	1	117
ENSG00000091831	TCGA-SARC	ESR1	1	1	0	0	115
ENSG00000141027	TCGA-MESO	NCOR1	1	1	0	0	115
ENSG00000064012	TCGA-BRCA	CASP8	1	1	0	0	114
ENSG00000066468	TCGA-UCEC	FGFR2	1	1	0	1	113
ENSG00000100503	TCGA-BRCA	NIN	1	1	0	0	112
ENSG00000044524	TCGA-ESCA	EPHA3	1	1	0	0	112
ENSG00000153201	TCGA-PCPG	RANBP2	1	1	0	0	111
ENSG00000134250	TCGA-HNSC	NOTCH2	1	1	0	1	109
ENSG00000160201	TCGA-UCS	U2AF1	1	1	0	0	109
ENSG00000087460	TCGA-PAAD	GNAS	1	1	0	0	109
ENSG00000143322	TCGA-BRCA	ABL2	1	1	0	0	109
ENSG00000065559	TCGA-CHOL	MAP2K4	1	1	0	0	108
ENSG00000134982	TCGA-UVM	APC	1	1	0	1	108
ENSG00000182872	TCGA-LUAD	RBM10	1	1	0	0	105
ENSG00000182901	TCGA-LUAD	RGS7	1	1	0	0	105
ENSG00000183454	TCGA-STAD	GRIN2A	1	1	0	0	102
ENSG00000102974	TCGA-UCEC	CTCF	1	1	0	0	101
ENSG00000039068	TCGA-BLCA	CDH1	1	1	0	0	101
ENSG00000184634	TCGA-SARC	MED12	1	1	0	0	100
ENSG00000116016	TCGA-PCPG	EPAS1	1	1	0	0	100
ENSG00000131941	TCGA-LUSC	RHPN2	1	1	0	0	99
ENSG00000196498	TCGA-ESCA	NCOR2	1	1	0	0	99
ENSG00000116044	TCGA-KIRP	NFE2L2	1	1	0	0	97
ENSG00000157388	TCGA-OV	CACNA1D	1	1	0	0	97
ENSG00000138413	TCGA-SARC	IDH1	1	1	0	1	96
ENSG00000085224	TCGA-OV	ATRX	1	1	0	0	94
ENSG00000012048	TCGA-OV	BRCA1	1	1	1	1	94
ENSG00000139263	TCGA-LUAD	LRIG3	1	1	0	0	93
ENSG00000135333	TCGA-OV	EPHA7	1	1	0	0	92
ENSG00000126012	TCGA-KIRC	KDM5C	1	1	0	0	88
ENSG00000180611	TCGA-LUSC	MB21D2	1	1	0	0	88
ENSG00000133895	TCGA-ACC	MEN1	1	1	0	0	87
ENSG00000153707	TCGA-ESCA	PTPRD	1	1	0	0	87
ENSG00000215301	TCGA-MESO	DDX3X	1	1	0	0	86
ENSG00000178568	TCGA-ESCA	ERBB4	1	1	0	1	86
ENSG00000124693	TCGA-ESCA	HIST1H3B	1	1	0	0	86
ENSG00000165671	TCGA-UCS	NSD1	1	1	0	0	85
ENSG00000173821	TCGA-UCEC	RNF213	1	1	0	0	84
ENSG00000197548	TCGA-KIRC	ATG7	1	0	0	0	84
ENSG00000138698	TCGA-KIRC	RAP1GDS1	1	1	0	0	83
ENSG00000037280	TCGA-LUSC	FLT4	1	1	0	0	83
ENSG00000077782	TCGA-OV	FGFR1	1	1	0	1	82
ENSG00000108375	TCGA-UCEC	RNF43	1	1	0	1	82
ENSG00000100393	TCGA-READ	EP300	1	1	0	0	81
ENSG00000135111	TCGA-ESCA	TBX3	1	1	0	0	80
ENSG00000119772	TCGA-LIHC	DNMT3A	1	1	0	1	80
ENSG00000040731	TCGA-LUAD	CDH10	1	1	0	0	79
ENSG00000171094	TCGA-BRCA	ALK	1	1	0	1	79
ENSG00000156650	TCGA-BRCA	KAT6B	1	1	0	0	78
ENSG00000141367	TCGA-CHOL	CLTC	1	1	0	0	78
ENSG00000140396	TCGA-LUSC	NCOA2	1	1	0	0	77
ENSG00000128513	TCGA-LGG	POT1	1	1	0	0	77
ENSG00000121989	TCGA-PAAD	ACVR2A	1	1	0	0	75
ENSG00000111276	TCGA-LIHC	CDKN1B	1	1	0	0	74
ENSG00000181690	TCGA-BRCA	PLAG1	1	0	0	0	74
ENSG00000118046	TCGA-CESC	STK11	1	1	0	1	74
ENSG00000179295	TCGA-LGG	PTPN11	1	1	0	0	74
ENSG00000130779	TCGA-STAD	CLIP1	1	1	0	0	74
ENSG00000196914	TCGA-BRCA	ARHGEF12	1	1	0	0	73
ENSG00000175387	TCGA-COAD	SMAD2	1	1	0	0	73
ENSG00000129514	TCGA-BRCA	FOXA1	1	1	0	0	73
ENSG00000171681	TCGA-LUAD	ATF7IP	1	1	0	0	73
ENSG00000080824	TCGA-THCA	HSP90AA1	1	1	0	0	72
ENSG00000067955	TCGA-BRCA	CBFB	1	0	0	0	72
ENSG00000198625	TCGA-BRCA	MDM4	1	0	0	1	71
ENSG00000159216	TCGA-BRCA	RUNX1	1	1	0	0	70
ENSG00000084676	TCGA-BRCA	NCOA1	1	0	0	0	70
ENSG00000109906	TCGA-ESCA	ZBTB16	1	1	0	0	69
ENSG00000197535	TCGA-BRCA	MYO5A	1	1	0	0	69
ENSG00000102145	TCGA-BRCA	GATA1	1	0	0	0	69
ENSG00000085185	TCGA-SARC	BCORL1	1	1	0	0	68
ENSG00000144218	TCGA-BRCA	AFF3	1	0	0	0	68
ENSG00000244405	TCGA-BRCA	ETV5	1	1	0	0	68
ENSG00000173575	TCGA-SARC	CHD2	1	1	0	0	67
ENSG00000206503	TCGA-SKCM	HLA-A	1	1	0	0	66
ENSG00000101115	TCGA-LUSC	SALL4	1	1	0	0	66
ENSG00000147140	TCGA-SKCM	NONO	1	1	0	0	65
ENSG00000123364	TCGA-BRCA	HOXC13	1	0	0	0	65
ENSG00000079432	TCGA-LGG	CIC	1	1	0	0	65
ENSG00000096968	TCGA-BRCA	JAK2	1	1	0	0	64
ENSG00000128714	TCGA-ESCA	HOXD13	1	1	0	0	64
ENSG00000167258	TCGA-OV	CDK12	1	1	0	0	63
ENSG00000182054	TCGA-SARC	IDH2	1	1	0	1	63
ENSG00000198455	TCGA-BRCA	ZXDB	1	0	0	0	63
ENSG00000163629	TCGA-BRCA	PTPN13	1	0	0	0	63
ENSG00000136826	TCGA-BRCA	KLF4	1	1	0	0	62
ENSG00000147724	TCGA-UCS	FAM135B	1	1	0	0	62
ENSG00000142798	TCGA-SARC	HSPG2	1	1	0	0	61
ENSG00000138336	TCGA-GBM	TET1	1	1	0	0	61
ENSG00000066117	TCGA-BRCA	SMARCD1	1	0	0	0	60
ENSG00000163513	TCGA-CHOL	TGFBR2	1	1	0	0	60
ENSG00000198400	TCGA-BRCA	NTRK1	1	0	0	0	59
ENSG00000137497	TCGA-BRCA	NUMA1	1	0	0	0	58
ENSG00000131023	TCGA-OV	LATS1	1	1	0	0	58
ENSG00000134853	TCGA-LGG	PDGFRA	1	1	0	1	57
ENSG00000067560	TCGA-STAD	RHOA	1	1	0	0	57
ENSG00000049540	TCGA-BRCA	ELN	1	0	0	0	57
ENSG00000111642	TCGA-UCEC	CHD4	1	1	0	0	57
ENSG00000099949	TCGA-UCEC	LZTR1	1	1	0	0	56
ENSG00000103197	TCGA-KICH	TSC2	1	1	0	1	55
ENSG00000166501	TCGA-STAD	PRKCB	1	1	0	0	55
ENSG00000134371	TCGA-LUAD	CDC73	1	0	0	0	55
ENSG00000085276	TCGA-UCEC	MECOM	1	1	0	0	54
ENSG00000174197	TCGA-LUAD	MGA	1	1	0	0	54
ENSG00000036257	TCGA-KIRP	CUL3	1	1	0	0	53
ENSG00000062822	TCGA-BRCA	POLD1	1	0	0	0	53
ENSG00000010671	TCGA-LUAD	BTK	1	1	0	0	53
ENSG00000165238	TCGA-COAD	WNK2	1	1	0	0	52
ENSG00000106462	TCGA-LUAD	EZH2	1	1	0	1	50
ENSG00000162434	TCGA-OV	JAK1	1	1	0	0	50
ENSG00000113721	TCGA-UCS	PDGFRB	1	1	0	0	50
ENSG00000121067	TCGA-UCEC	SPOP	1	1	0	0	49
ENSG00000156052	TCGA-UVM	GNAQ	1	1	0	0	49
ENSG00000107485	TCGA-BRCA	GATA3	1	1	0	0	49
ENSG00000088256	TCGA-UVM	GNA11	1	1	0	0	48
ENSG00000068078	TCGA-MESO	FGFR3	1	1	0	0	47
ENSG00000128052	TCGA-LUAD	KDR	1	1	0	0	47
ENSG00000051341	TCGA-UCEC	POLQ	1	1	0	0	47
ENSG00000180917	TCGA-LUAD	CMTR2	1	1	0	0	47
ENSG00000198795	TCGA-ESCA	ZNF521	1	1	0	0	46
ENSG00000070756	TCGA-THCA	PABPC1	1	1	0	0	46
ENSG00000196367	TCGA-SKCM	TRRAP	1	1	0	0	46
ENSG00000140937	TCGA-STAD	CDH11	1	1	0	0	45
ENSG00000148737	TCGA-COAD	TCF7L2	1	1	0	0	45
ENSG00000083168	TCGA-KIRP	KAT6A	1	1	0	0	45
ENSG00000077809	TCGA-THYM	GTF2I	1	1	0	0	45
ENSG00000083799	TCGA-THYM	CYLD	1	1	0	0	44
ENSG00000116128	TCGA-STAD	BCL9	1	1	0	0	43
ENSG00000079102	TCGA-LGG	RUNX1T1	1	1	0	0	42
ENSG00000051382	TCGA-GBM	PIK3CB	1	1	0	1	42
ENSG00000136352	TCGA-LGG	NKX2-1	1	0	0	0	40
ENSG00000073282	TCGA-UCEC	TP63	1	1	0	0	40
ENSG00000185920	TCGA-SARC	PTCH1	1	1	0	0	40
ENSG00000172915	TCGA-READ	NBEA	1	1	0	0	39
ENSG00000139718	TCGA-OV	SETD1B	1	1	0	0	39
ENSG00000101096	TCGA-SARC	NFATC2	1	1	0	0	39
ENSG00000169402	TCGA-LGG	RSPH10B2	1	0	0	0	39
ENSG00000152207	TCGA-UVM	CYSLTR2	1	0	0	0	39
ENSG00000166949	TCGA-PAAD	SMAD3	1	1	0	0	39
ENSG00000187514	TCGA-TGCT	PTMA	1	0	0	0	38
ENSG00000144476	TCGA-OV	ACKR3	1	0	0	0	37
ENSG00000160007	TCGA-UCEC	ARHGAP35	1	1	0	0	37
ENSG00000196090	TCGA-OV	PTPRT	1	1	0	0	36
ENSG00000157554	TCGA-OV	ERG	1	1	0	0	36
ENSG00000185958	TCGA-THCA	FAM186A	1	1	0	0	36
ENSG00000105656	TCGA-OV	ELL	1	1	0	0	36
ENSG00000107779	TCGA-STAD	BMPR1A	1	1	0	0	34
ENSG00000041982	TCGA-ACC	TNC	1	1	0	0	34
ENSG00000069943	TCGA-PAAD	PIGB	0	0	0	0	34
ENSG00000169564	TCGA-COAD	PCBP1	1	1	0	0	34
ENSG00000116014	TCGA-UVM	KISS1R	0	0	0	0	33
ENSG00000104408	TCGA-COAD	EIF3E	1	1	0	0	33
ENSG00000116731	TCGA-KIRP	PRDM2	1	1	0	0	32
ENSG00000104517	TCGA-KICH	UBR5	1	1	0	0	32
ENSG00000101333	TCGA-UVM	PLCB4	1	0	0	0	32
ENSG00000198053	TCGA-COAD	SIRPA	1	1	0	0	32
ENSG00000153165	TCGA-SKCM	RGPD3	1	1	0	0	31
ENSG00000100697	TCGA-UCEC	DICER1	1	1	0	0	30
ENSG00000181722	TCGA-LGG	ZBTB20	1	0	0	0	30
ENSG00000100030	TCGA-HNSC	MAPK1	1	1	0	0	30
ENSG00000128731	TCGA-THCA	HERC2	1	0	0	0	30
ENSG00000134508	TCGA-SARC	CABLES1	0	0	0	0	30
ENSG00000156858	TCGA-THCA	PRR14	1	0	0	0	29
ENSG00000124762	TCGA-KICH	CDKN1A	1	1	0	0	29
ENSG00000243543	TCGA-UCS	WFDC6	0	0	0	0	29
ENSG00000198286	TCGA-COAD	CARD11	1	1	0	0	29
ENSG00000182557	TCGA-SARC	SPNS3	0	0	0	0	28
ENSG00000145715	TCGA-LUSC	RASA1	1	1	0	0	28
ENSG00000108821	TCGA-GBM	COL1A1	1	1	0	0	28
ENSG00000183765	TCGA-THCA	CHEK2	1	0	0	1	28
ENSG00000102554	TCGA-LUSC	KLF5	1	1	0	0	28
ENSG00000029363	TCGA-STAD	BCLAF1	1	1	0	0	28
ENSG00000144554	TCGA-COAD	FANCD2	1	1	0	0	28
ENSG00000164190	TCGA-LGG	NIPBL	1	1	0	0	28
ENSG00000090857	TCGA-THCA	PDPR	1	0	0	0	28
ENSG00000123080	TCGA-LGG	CDKN2C	1	1	1	0	27
ENSG00000164754	TCGA-LUSC	RAD21	1	1	0	0	27
ENSG00000197993	TCGA-LGG	KEL	1	0	0	0	27
ENSG00000130023	TCGA-SARC	ERMARD	0	0	0	0	26
ENSG00000100320	TCGA-THCA	RBFOX2	1	0	0	0	26
ENSG00000156983	TCGA-PCPG	BRPF1	0	0	0	0	26
ENSG00000125398	TCGA-READ	SOX9	1	0	0	0	26
ENSG00000180370	TCGA-THCA	PAK2	1	0	0	0	26
ENSG00000141627	TCGA-ACC	DYM	0	0	0	0	26
ENSG00000042317	TCGA-PCPG	SPATA7	0	0	0	0	26
ENSG00000186174	TCGA-COAD	BCL9L	1	0	0	0	26
ENSG00000170385	TCGA-OV	SLC30A1	0	0	0	0	26
ENSG00000100285	TCGA-THCA	NEFH	1	0	0	0	25
ENSG00000150457	TCGA-MESO	LATS2	1	1	0	0	25
ENSG00000133124	TCGA-PAAD	IRS4	1	1	0	0	25
ENSG00000170837	TCGA-UCS	GPR27	0	0	0	0	25
ENSG00000175054	TCGA-SKCM	ATR	1	1	0	1	25
ENSG00000165480	TCGA-LUSC	SKA3	0	0	0	0	25
ENSG00000184384	TCGA-LUSC	MAML2	1	1	0	0	25
ENSG00000166710	TCGA-CESC	B2M	1	1	0	0	25
ENSG00000075790	TCGA-MESO	BCAP29	0	0	0	0	25
ENSG00000136487	TCGA-TGCT	GH2	0	0	0	0	24
ENSG00000138592	TCGA-LUSC	USP8	1	1	0	0	24
ENSG00000141867	TCGA-BLCA	BRD4	1	1	0	0	24
ENSG00000096088	TCGA-KIRP	PGC	0	0	0	0	24
ENSG00000049167	TCGA-SARC	ERCC8	0	0	0	0	24
ENSG00000127329	TCGA-OV	PTPRB	1	1	0	0	24
ENSG00000111266	TCGA-READ	DUSP16	1	0	0	0	24
ENSG00000197465	TCGA-CHOL	GYPE	0	0	0	0	24
ENSG00000166902	TCGA-TGCT	MRPL16	0	0	0	0	24
ENSG00000198354	TCGA-GBM	DCAF12L2	1	1	0	0	24
ENSG00000204217	TCGA-STAD	BMPR2	1	0	0	0	23
ENSG00000104361	TCGA-MESO	NIPAL2	0	0	0	0	23
ENSG00000204007	TCGA-SARC	GLT6D1	0	0	0	0	23
ENSG00000186716	TCGA-LUSC	BCR	1	1	0	0	23
ENSG00000110092	TCGA-UCEC	CCND1	1	1	0	1	23
ENSG00000198157	TCGA-SARC	HMGN5	0	0	0	0	22
ENSG00000168769	TCGA-SARC	TET2	1	1	0	0	22
ENSG00000127870	TCGA-COAD	RNF6	1	0	0	0	22
ENSG00000178104	TCGA-THCA	PDE4DIP	1	0	0	0	22
ENSG00000197013	TCGA-BLCA	ZNF429	1	1	0	0	22
ENSG00000123572	TCGA-LUSC	NRK	1	0	0	0	22
ENSG00000151332	TCGA-SARC	MBIP	0	0	0	0	22
ENSG00000154803	TCGA-COAD	FLCN	1	0	0	0	22
ENSG00000099994	TCGA-LUSC	SUSD2	1	0	0	0	22
ENSG00000145012	TCGA-UCS	LPP	1	1	0	0	22
ENSG00000162613	TCGA-LGG	FUBP1	1	1	0	0	22
ENSG00000272333	TCGA-SARC	KMT2B	1	1	0	0	22
ENSG00000130037	TCGA-THYM	KCNA5	0	0	0	0	22
ENSG00000204963	TCGA-SARC	PCDHA7	0	0	0	0	22
ENSG00000115414	TCGA-LUSC	FN1	1	0	0	0	22
ENSG00000161654	TCGA-UCEC	LSM12	0	0	0	0	22
ENSG00000184586	TCGA-STAD	KRTAP7-1	0	0	0	0	22
ENSG00000164330	TCGA-LUSC	EBF1	1	1	0	0	22
ENSG00000197150	TCGA-SARC	ABCB8	0	0	0	0	21
ENSG00000234745	TCGA-CESC	HLA-B	1	1	0	0	21
ENSG00000126883	TCGA-KIRP	NUP214	1	1	0	0	21
ENSG00000132002	TCGA-BLCA	DNAJB1	1	0	0	0	21
ENSG00000169083	TCGA-DLBC	AR	1	1	0	1	21
ENSG00000177084	TCGA-UCEC	POLE	1	1	0	0	21
ENSG00000204913	TCGA-SARC	LRRC3C	0	0	0	0	21
ENSG00000101888	TCGA-TGCT	NXT2	0	0	0	0	21
ENSG00000167565	TCGA-OV	SERTAD3	0	0	0	0	21
ENSG00000253251	TCGA-SARC	CTC-534A2.2	0	0	0	0	21
ENSG00000165125	TCGA-MESO	TRPV6	0	0	0	0	21
ENSG00000243943	TCGA-UVM	ZNF512	0	0	0	0	20
ENSG00000108344	TCGA-PCPG	PSMD3	0	0	0	0	20
ENSG00000102699	TCGA-COAD	PARP4	1	1	0	0	20
ENSG00000140538	TCGA-STAD	NTRK3	1	1	0	0	20
ENSG00000114861	TCGA-PRAD	FOXP1	1	1	0	0	20
ENSG00000100075	TCGA-TGCT	SLC25A1	0	0	0	0	20
ENSG00000173039	TCGA-STAD	RELA	1	0	0	0	20
ENSG00000124181	TCGA-LGG	PLCG1	1	1	0	0	20
ENSG00000197888	TCGA-OV	UGT2B17	1	0	0	0	20
ENSG00000131051	TCGA-UCEC	RBM39	1	0	0	0	20
ENSG00000173757	TCGA-OV	STAT5B	1	0	0	0	20
ENSG00000127152	TCGA-GBM	BCL11B	1	1	0	0	20
ENSG00000161547	TCGA-CESC	SRSF2	1	1	0	0	20
ENSG00000141200	TCGA-OV	KIF2B	0	0	0	0	20
ENSG00000162063	TCGA-PCPG	CCNF	0	0	0	0	20
ENSG00000128602	TCGA-MESO	SMO	1	1	0	0	20
ENSG00000177556	TCGA-TGCT	ATOX1	0	0	0	0	20
ENSG00000179002	TCGA-KICH	TAS1R2	0	0	0	0	20
ENSG00000081237	TCGA-COAD	PTPRC	1	1	0	0	20
ENSG00000196378	TCGA-PCPG	ZNF34	0	0	0	0	20
ENSG00000185122	TCGA-PAAD	HSF1	0	0	0	0	20
ENSG00000089876	TCGA-PCPG	DHX32	0	0	0	0	20
ENSG00000146047	TCGA-SARC	HIST1H2BA	0	0	0	0	20
ENSG00000170802	TCGA-PCPG	FOXN2	0	0	0	0	20
ENSG00000088970	TCGA-ACC	PLK1S1	0	0	0	0	20
ENSG00000108091	TCGA-COAD	CCDC6	1	0	0	0	20
ENSG00000143379	TCGA-MESO	SETDB1	1	1	0	0	19
ENSG00000221988	TCGA-BLCA	PPT2	1	0	0	0	19
ENSG00000204209	TCGA-ACC	DAXX	1	1	0	0	19
ENSG00000135605	TCGA-UCEC	TEC	1	0	0	0	19
ENSG00000173338	TCGA-SARC	KCNK7	0	0	0	0	19
ENSG00000101282	TCGA-STAD	RSPO4	0	0	0	0	19
ENSG00000099968	TCGA-SARC	BCL2L13	0	0	0	0	19
ENSG00000134323	TCGA-GBM	MYCN	1	1	0	0	19
ENSG00000228474	TCGA-KIRP	OST4	0	0	0	0	19
ENSG00000119636	TCGA-THYM	CCDC176	0	0	0	0	19
ENSG00000168807	TCGA-LUAD	SNTB2	0	0	0	0	19
ENSG00000258366	TCGA-SARC	RTEL1	0	0	0	0	19
ENSG00000132155	TCGA-SKCM	RAF1	1	1	0	0	19
ENSG00000222046	TCGA-SARC	DCDC2B	0	0	0	0	19
ENSG00000177426	TCGA-READ	TGIF1	1	0	0	0	19
ENSG00000138801	TCGA-PCPG	PAPSS1	0	0	0	0	19
ENSG00000138316	TCGA-SARC	ADAMTS14	0	0	0	0	19
ENSG00000110888	TCGA-UCS	CAPRIN2	0	0	0	0	19
ENSG00000123144	TCGA-SARC	C19orf43	0	0	0	0	19
ENSG00000143933	TCGA-PAAD	CALM2	0	0	0	0	19
ENSG00000213927	TCGA-PCPG	CCL27	0	0	0	0	19
ENSG00000131747	TCGA-STAD	TOP2A	1	0	0	0	19
ENSG00000012504	TCGA-UVM	NR1H4	0	0	0	0	19
ENSG00000130940	TCGA-PRAD	CASZ1	1	0	0	0	19
ENSG00000114850	TCGA-HNSC	SSR3	0	0	0	0	19
ENSG00000188916	TCGA-KIRC	FAM196A	0	0	0	0	18
ENSG00000123171	TCGA-MESO	CCDC70	0	0	0	0	18
ENSG00000256294	TCGA-KIRP	ZNF225	0	0	0	0	18
ENSG00000128191	TCGA-DLBC	DGCR8	1	1	0	0	18
ENSG00000183760	TCGA-OV	PAPL	0	0	0	0	18
ENSG00000178691	TCGA-LAML	SUZ12	1	1	0	0	18
ENSG00000146376	TCGA-LUSC	ARHGAP18	0	0	0	0	18
ENSG00000125787	TCGA-ACC	GNRH2	0	0	0	0	18
ENSG00000138311	TCGA-LUAD	ZNF365	0	0	0	0	18
ENSG00000165699	TCGA-BLCA	TSC1	1	1	0	0	18
ENSG00000242616	TCGA-TGCT	GNG10	0	0	0	0	18
ENSG00000186827	TCGA-HNSC	TNFRSF4	0	0	0	0	18
ENSG00000147119	TCGA-SARC	CHST7	0	0	0	0	18
ENSG00000097007	TCGA-UCEC	ABL1	1	1	0	0	18
ENSG00000144152	TCGA-SARC	FBLN7	0	0	0	0	18
ENSG00000147381	TCGA-TGCT	MAGEA4	0	0	0	0	18
ENSG00000187323	TCGA-ESCA	DCC	1	1	0	0	18
ENSG00000128833	TCGA-TGCT	MYO5C	0	0	0	0	18
ENSG00000197935	TCGA-SARC	ZNF311	0	0	0	0	18
ENSG00000078328	TCGA-PRAD	RBFOX1	1	0	0	0	18
ENSG00000183856	TCGA-TGCT	IQGAP3	0	0	0	0	18
ENSG00000213648	TCGA-ESCA	SULT1A4	0	0	0	0	18
ENSG00000100665	TCGA-SARC	SERPINA4	0	0	0	0	18
ENSG00000186153	TCGA-LUSC	WWOX	0	0	0	0	18
ENSG00000089737	TCGA-SARC	DDX24	0	0	0	0	18
ENSG00000101265	TCGA-OV	RASSF2	0	0	0	0	18
ENSG00000258436	TCGA-LUSC	RNASE12	0	0	0	0	18
ENSG00000214827	TCGA-COAD	MTCP1	1	0	0	0	18
ENSG00000105671	TCGA-LUSC	DDX49	0	0	0	0	18
ENSG00000141279	TCGA-LUSC	NPEPPS	1	1	0	0	18
ENSG00000124508	TCGA-TGCT	BTN2A2	0	0	0	0	18
ENSG00000103126	TCGA-GBM	AXIN1	1	1	0	0	18
ENSG00000158006	TCGA-STAD	PAFAH2	0	0	0	0	18
ENSG00000101846	TCGA-PCPG	STS	0	0	0	0	18
ENSG00000189283	TCGA-STAD	FHIT	1	1	0	0	18
ENSG00000177688	TCGA-PCPG	SUMO4	0	0	0	0	18
ENSG00000124145	TCGA-STAD	SDC4	1	0	0	0	18
ENSG00000198276	TCGA-UCS	UCKL1	0	0	0	0	18
ENSG00000157168	TCGA-STAD	NRG1	1	0	0	0	18
ENSG00000110619	TCGA-STAD	CARS	1	0	0	0	18
ENSG00000131019	TCGA-SKCM	ULBP3	0	0	0	0	18
ENSG00000101951	TCGA-KIRC	PAGE4	0	0	0	0	18
ENSG00000151704	TCGA-OV	KCNJ1	0	0	0	0	18
ENSG00000186814	TCGA-LGG	ZSCAN30	0	0	0	0	17
ENSG00000143498	TCGA-UCS	TAF1A	0	0	0	0	17
ENSG00000104695	TCGA-SARC	PPP2CB	0	0	0	0	17
ENSG00000011590	TCGA-SARC	ZBTB32	0	0	0	0	17
ENSG00000121053	TCGA-LIHC	EPX	0	0	0	0	17
ENSG00000136169	TCGA-KICH	SETDB2	0	0	0	0	17
ENSG00000168026	TCGA-PCPG	TTC21A	0	0	0	0	17
ENSG00000167658	TCGA-KICH	EEF2	0	0	0	0	17
ENSG00000138115	TCGA-MESO	CYP2C8	1	1	0	0	17
ENSG00000125650	TCGA-LUSC	PSPN	0	0	0	0	17
