Ensembl_gene	Cancer_type	Gene_name	Driver in the same cancer	Driver in other cancer	Prognostic in the same cancer	Prognostic in other cancer	count
ENSG00000257923	TCGA-BRCA	CUX1	1	1	0	0	57
ENSG00000091831	TCGA-BRCA	ESR1	1	1	0	0	57
ENSG00000149311	TCGA-LUAD	ATM	1	1	0	1	57
ENSG00000049618	TCGA-BRCA	ARID1B	1	1	0	0	56
ENSG00000147140	TCGA-BRCA	NONO	1	1	0	0	56
ENSG00000128714	TCGA-BRCA	HOXD13	1	1	0	0	56
ENSG00000182872	TCGA-LUAD	RBM10	1	1	0	0	56
ENSG00000079999	TCGA-LUAD	KEAP1	1	1	0	0	56
ENSG00000040731	TCGA-LUAD	CDH10	1	1	0	0	56
ENSG00000173674	TCGA-THYM	EIF1AX	1	1	0	1	56
ENSG00000141736	TCGA-BRCA	ERBB2	1	1	0	1	56
ENSG00000139687	TCGA-LUAD	RB1	1	1	0	1	55
ENSG00000215301	TCGA-BRCA	DDX3X	1	1	0	0	55
ENSG00000087460	TCGA-BRCA	GNAS	1	1	0	0	55
ENSG00000174775	TCGA-BRCA	HRAS	1	1	0	1	55
ENSG00000165731	TCGA-LUAD	RET	1	1	0	1	55
ENSG00000134371	TCGA-LUAD	CDC73	1	0	0	0	55
ENSG00000123975	TCGA-STAD	MET	0	1	1	0	55
ENSG00000171681	TCGA-LUAD	ATF7IP	1	1	0	0	54
ENSG00000100345	TCGA-BRCA	MYH9	1	1	0	0	54
ENSG00000140396	TCGA-LUAD	NCOA2	1	1	0	0	54
ENSG00000174197	TCGA-LUAD	MGA	1	1	0	0	54
ENSG00000189079	TCGA-LUAD	ARID2	1	1	0	0	54
ENSG00000089876	TCGA-OV	KIRREL	0	0	0	0	54
ENSG00000115524	TCGA-BRCA	SF3B1	1	1	0	1	53
ENSG00000111276	TCGA-BRCA	CDKN1B	1	1	0	0	53
ENSG00000167548	TCGA-BRCA	KMT2D	1	1	0	1	53
ENSG00000182901	TCGA-BRCA	RGS7	1	1	0	0	53
ENSG00000062822	TCGA-BRCA	POLD1	1	0	0	0	53
ENSG00000196159	TCGA-LUAD	FAT4	1	1	0	0	53
ENSG00000157388	TCGA-BRCA	CACNA1D	1	1	0	0	53
ENSG00000010671	TCGA-LUAD	BTK	1	1	0	0	53
ENSG00000079432	TCGA-LGG	CIC	1	1	0	0	53
ENSG00000196498	TCGA-BRCA	NCOR2	1	1	0	0	52
ENSG00000135111	TCGA-BRCA	TBX3	1	1	0	0	52
ENSG00000182901	TCGA-LUAD	RGS7	1	1	0	0	52
ENSG00000121879	TCGA-LUAD	PIK3CA	1	1	0	1	52
ENSG00000196159	TCGA-BRCA	FAT4	1	1	0	0	52
ENSG00000080824	TCGA-BRCA	HSP90AA1	1	1	0	0	52
ENSG00000109906	TCGA-BRCA	ZBTB16	1	1	0	0	52
ENSG00000174982	TCGA-LGG	TEX2	0	0	0	0	52
ENSG00000257923	TCGA-LUAD	CUX1	1	1	0	0	51
ENSG00000096088	TCGA-TGCT	BACE1	0	0	0	0	51
ENSG00000175387	TCGA-BRCA	SMAD2	1	1	0	0	50
ENSG00000147889	TCGA-LUAD	CDKN2A	1	1	0	1	50
ENSG00000127616	TCGA-LUAD	SMARCA4	1	1	0	1	50
ENSG00000037280	TCGA-LUAD	FLT4	1	1	0	0	50
ENSG00000064012	TCGA-BRCA	CASP8	1	1	0	0	50
ENSG00000065361	TCGA-BRCA	ERBB3	1	1	0	1	50
ENSG00000101115	TCGA-BRCA	SALL4	1	1	0	0	50
ENSG00000107485	TCGA-BRCA	GATA3	1	1	0	0	49
ENSG00000213281	TCGA-LUAD	NRAS	1	1	1	1	49
ENSG00000204435	TCGA-LUAD	SP100	0	0	0	0	49
ENSG00000115687	TCGA-ACC	LGMN	0	0	0	0	49
ENSG00000165125	TCGA-THCA	SCN5A	0	0	0	0	49
ENSG00000171862	TCGA-UCEC	PTEN	1	1	1	1	49
ENSG00000133703	TCGA-TGCT	KRAS	1	1	1	1	48
ENSG00000168036	TCGA-LUAD	CTNNB1	1	1	0	1	48
ENSG00000160201	TCGA-LUAD	U2AF1	1	1	0	0	48
ENSG00000198793	TCGA-BRCA	MTOR	1	1	0	0	48
ENSG00000141510	TCGA-THYM	TP53	1	1	1	1	47
ENSG00000130779	TCGA-LUAD	CLIP1	1	1	0	0	47
ENSG00000115524	TCGA-THYM	SF3B1	1	1	0	1	47
ENSG00000133703	TCGA-LUAD	KRAS	1	1	0	1	47
ENSG00000055609	TCGA-LUAD	KMT2C	1	1	0	0	47
ENSG00000180917	TCGA-LUAD	CMTR2	1	1	0	0	47
ENSG00000147889	TCGA-BRCA	CDKN2A	1	1	0	1	47
ENSG00000113721	TCGA-BRCA	PDGFRB	1	1	0	0	46
ENSG00000196712	TCGA-BRCA	NF1	1	1	0	1	46
ENSG00000148400	TCGA-TGCT	NOTCH1	1	1	0	0	46
ENSG00000157764	TCGA-LUAD	BRAF	1	1	1	1	46
ENSG00000130227	TCGA-LIHC	PRPF38A	0	0	0	0	46
ENSG00000197465	TCGA-BRCA	DNAH12	0	0	0	0	46
ENSG00000077809	TCGA-THYM	GTF2I	1	1	0	0	45
ENSG00000128052	TCGA-LUAD	KDR	1	1	0	0	45
ENSG00000119636	TCGA-STAD	RRAGD	0	0	0	0	45
ENSG00000106462	TCGA-LUAD	EZH2	1	1	0	1	44
ENSG00000079432	TCGA-LUAD	CIC	1	1	0	0	44
ENSG00000157404	TCGA-TGCT	KIT	1	1	1	1	44
ENSG00000121879	TCGA-TGCT	PIK3CA	1	1	0	1	44
ENSG00000174775	TCGA-THYM	HRAS	1	1	0	1	44
ENSG00000204070	TCGA-PCPG	PKIA	0	0	0	0	44
ENSG00000170837	TCGA-GBM	SLC12A6	0	0	0	0	44
ENSG00000127616	TCGA-THYM	SMARCA4	1	1	0	1	43
ENSG00000135333	TCGA-LUAD	EPHA7	1	1	0	0	42
ENSG00000140836	TCGA-THYM	ZFHX3	1	1	0	0	42
ENSG00000134086	TCGA-THYM	VHL	1	1	0	1	42
ENSG00000213281	TCGA-TGCT	NRAS	1	1	1	1	42
ENSG00000163930	TCGA-UVM	BAP1	1	1	1	1	41
ENSG00000136352	TCGA-LGG	NKX2-1	1	0	0	0	40
ENSG00000189079	TCGA-LGG	ARID2	1	1	0	0	40
ENSG00000088256	TCGA-UVM	GNA11	1	1	0	0	40
ENSG00000156052	TCGA-UVM	GNAQ	1	1	0	0	40
ENSG00000115524	TCGA-UVM	SF3B1	1	1	1	0	40
ENSG00000116151	TCGA-ESCA	PIK3CB	0	1	1	0	40
ENSG00000128513	TCGA-LGG	POT1	1	1	0	0	39
ENSG00000213281	TCGA-LGG	NRAS	1	1	0	1	39
ENSG00000168702	TCGA-LUAD	LRP1B	1	1	0	0	39
ENSG00000183337	TCGA-THYM	BCOR	1	1	0	0	39
ENSG00000152207	TCGA-UVM	CYSLTR2	1	0	0	0	39
ENSG00000133392	TCGA-LGG	MYH11	1	1	0	0	38
ENSG00000187514	TCGA-TGCT	PTMA	1	0	0	0	38
ENSG00000213281	TCGA-THYM	NRAS	1	1	0	1	38
ENSG00000162063	TCGA-THYM	CHST7	0	0	0	0	38
ENSG00000055609	TCGA-PCPG	KMT2C	1	1	0	0	37
ENSG00000144476	TCGA-OV	ACKR3	1	0	0	0	37
ENSG00000117713	TCGA-LGG	ARID1A	1	1	0	0	36
ENSG00000196159	TCGA-TGCT	FAT4	1	1	0	0	36
ENSG00000083857	TCGA-UVM	FAT1	1	1	0	0	36
ENSG00000184634	TCGA-LGG	MED12	1	1	0	0	35
ENSG00000139687	TCGA-OV	RB1	1	1	0	1	35
ENSG00000168702	TCGA-UVM	LRP1B	1	1	0	0	35
ENSG00000077782	TCGA-PCPG	FGFR1	1	1	0	1	35
ENSG00000118058	TCGA-THCA	KMT2A	1	1	0	0	35
ENSG00000089876	TCGA-KICH	DHODH	0	0	0	0	35
ENSG00000096088	TCGA-CESC	WARS2	0	0	0	0	35
ENSG00000115760	TCGA-PCPG	BIRC6	1	1	0	0	34
ENSG00000143322	TCGA-THCA	ABL2	1	1	0	0	34
ENSG00000083799	TCGA-THYM	CYLD	1	1	0	0	33
ENSG00000186575	TCGA-OV	NF2	1	1	0	0	33
ENSG00000152217	TCGA-PCPG	SETBP1	1	1	0	0	33
ENSG00000134982	TCGA-UVM	APC	1	1	0	1	33
ENSG00000125952	TCGA-LGG	MAX	1	1	0	0	33
ENSG00000181555	TCGA-SARC	SETD2	1	1	0	0	33
ENSG00000163946	TCGA-TGCT	GJC2	0	0	0	0	33
ENSG00000105568	TCGA-UVM	PPP2R1A	1	1	0	0	32
ENSG00000165731	TCGA-PCPG	RET	1	1	0	1	32
ENSG00000116016	TCGA-PCPG	EPAS1	1	1	0	0	32
ENSG00000173674	TCGA-UVM	EIF1AX	1	1	1	0	32
ENSG00000157764	TCGA-THCA	BRAF	1	1	1	1	32
ENSG00000173674	TCGA-THCA	EIF1AX	1	1	0	1	32
ENSG00000101333	TCGA-UVM	PLCB4	1	0	0	0	32
ENSG00000170385	TCGA-PRAD	AIF1	0	0	0	0	32
ENSG00000135333	TCGA-THCA	EPHA7	1	1	0	0	31
ENSG00000105976	TCGA-KIRP	MET	1	1	0	1	31
ENSG00000134853	TCGA-LGG	PDGFRA	1	1	0	1	31
ENSG00000147889	TCGA-LGG	CDKN2A	1	1	1	1	31
ENSG00000118058	TCGA-OV	KMT2A	1	1	0	0	31
ENSG00000133703	TCGA-OV	KRAS	1	1	0	1	31
ENSG00000138379	TCGA-SARC	OR10S1	0	0	0	0	31
ENSG00000168702	TCGA-OV	LRP1B	1	1	0	0	30
ENSG00000168702	TCGA-TGCT	LRP1B	1	1	0	0	30
ENSG00000185958	TCGA-THCA	FAM186A	1	1	0	0	30
ENSG00000128731	TCGA-THCA	HERC2	1	0	0	0	30
ENSG00000138413	TCGA-LGG	IDH1	1	1	1	1	30
ENSG00000141510	TCGA-LGG	TP53	1	1	0	1	30
ENSG00000181722	TCGA-LGG	ZBTB20	1	0	0	0	30
ENSG00000142208	TCGA-THCA	AKT1	1	1	0	1	30
ENSG00000257923	TCGA-THCA	CUX1	1	1	0	0	30
ENSG00000115760	TCGA-TGCT	BIRC6	1	1	0	0	29
ENSG00000095015	TCGA-THCA	MAP3K1	1	1	0	0	29
ENSG00000070756	TCGA-THCA	PABPC1	1	1	0	0	29
ENSG00000196712	TCGA-PCPG	NF1	1	1	0	1	29
ENSG00000103197	TCGA-KICH	TSC2	1	1	0	1	29
ENSG00000198793	TCGA-SARC	MTOR	1	1	0	0	29
ENSG00000165238	TCGA-THCA	WNK2	1	1	0	0	29
ENSG00000012048	TCGA-OV	BRCA1	1	1	1	1	29
ENSG00000145675	TCGA-LGG	PIK3R1	1	1	1	0	29
ENSG00000079102	TCGA-LGG	RUNX1T1	1	1	0	0	29
ENSG00000157404	TCGA-LGG	KIT	1	1	0	1	29
ENSG00000101096	TCGA-SARC	NFATC2	1	1	0	0	29
ENSG00000156858	TCGA-THCA	PRR14	1	0	0	0	29
ENSG00000162063	TCGA-COAD	UVSSA	0	0	0	0	29
ENSG00000165323	TCGA-THCA	FAT3	1	1	0	0	28
ENSG00000183765	TCGA-THCA	CHEK2	1	0	0	1	28
ENSG00000127616	TCGA-COAD	SMARCA4	1	1	0	1	28
ENSG00000090857	TCGA-THCA	PDPR	1	0	0	0	28
ENSG00000145675	TCGA-SARC	PIK3R1	1	1	0	1	28
ENSG00000157764	TCGA-LGG	BRAF	1	1	1	1	28
ENSG00000105568	TCGA-OV	PPP2R1A	1	1	0	0	28
ENSG00000139718	TCGA-OV	SETD1B	1	1	0	0	28
ENSG00000065989	TCGA-LGG	PDE4A	0	0	0	0	28
ENSG00000139687	TCGA-SARC	RB1	1	1	0	1	27
ENSG00000157554	TCGA-OV	ERG	1	1	0	0	27
ENSG00000196712	TCGA-OV	NF1	1	1	0	1	27
ENSG00000116044	TCGA-KIRP	NFE2L2	1	1	0	0	27
ENSG00000197993	TCGA-LGG	KEL	1	0	0	0	27
ENSG00000179295	TCGA-LGG	PTPN11	1	1	0	0	27
ENSG00000123080	TCGA-LGG	CDKN2C	1	1	1	0	27
ENSG00000141510	TCGA-KICH	TP53	1	1	0	1	27
ENSG00000189079	TCGA-THCA	ARID2	1	1	0	0	27
ENSG00000174775	TCGA-PCPG	HRAS	1	1	1	1	27
ENSG00000165731	TCGA-THCA	RET	1	1	1	0	27
ENSG00000213281	TCGA-THCA	NRAS	1	1	0	1	27
ENSG00000171862	TCGA-THCA	PTEN	1	1	1	1	27
ENSG00000141510	TCGA-OV	TP53	1	1	1	1	27
ENSG00000198793	TCGA-LGG	MTOR	1	1	0	0	26
ENSG00000127616	TCGA-KIRP	SMARCA4	1	1	0	1	26
ENSG00000104517	TCGA-KICH	UBR5	1	1	0	0	26
ENSG00000180370	TCGA-THCA	PAK2	1	0	0	0	26
ENSG00000083857	TCGA-OV	FAT1	1	1	0	0	26
ENSG00000213281	TCGA-OV	NRAS	1	1	0	1	26
ENSG00000100320	TCGA-THCA	RBFOX2	1	0	0	0	26
ENSG00000153165	TCGA-THCA	RGPD3	1	1	0	0	26
ENSG00000149311	TCGA-THCA	ATM	1	1	0	1	26
ENSG00000136487	TCGA-SKCM	NUDT6	0	0	0	0	26
ENSG00000158055	TCGA-THYM	GDPGP1	0	0	0	0	26
ENSG00000116731	TCGA-KIRP	PRDM2	1	1	0	0	25
ENSG00000055609	TCGA-UCEC	KMT2C	1	1	0	0	25
ENSG00000198793	TCGA-KICH	MTOR	1	1	0	0	25
ENSG00000049618	TCGA-LGG	ARID1B	1	1	0	0	25
ENSG00000105976	TCGA-LGG	MET	1	1	0	1	25
ENSG00000182054	TCGA-LGG	IDH2	1	1	0	1	25
ENSG00000164190	TCGA-LGG	NIPBL	1	1	0	0	25
ENSG00000157404	TCGA-SARC	KIT	1	1	0	1	25
ENSG00000085224	TCGA-SARC	ATRX	1	1	0	0	25
ENSG00000138413	TCGA-SARC	IDH1	1	1	0	1	25
ENSG00000174775	TCGA-THCA	HRAS	1	1	0	1	25
ENSG00000100285	TCGA-THCA	NEFH	1	0	0	0	25
ENSG00000105568	TCGA-THCA	PPP2R1A	1	1	0	0	25
ENSG00000121879	TCGA-OV	PIK3CA	1	1	0	1	25
ENSG00000055609	TCGA-LUSC	KMT2C	1	1	0	0	24
ENSG00000146648	TCGA-LGG	EGFR	1	1	1	1	24
ENSG00000085224	TCGA-LGG	ATRX	1	1	0	0	24
ENSG00000085185	TCGA-COAD	BCORL1	1	1	0	0	24
ENSG00000066468	TCGA-LUSC	FGFR2	1	1	1	1	24
ENSG00000196712	TCGA-LUSC	NF1	1	1	0	1	24
ENSG00000198795	TCGA-LUSC	ZNF521	1	1	0	0	24
ENSG00000119772	TCGA-THCA	DNMT3A	1	1	0	1	24
ENSG00000055609	TCGA-KIRP	KMT2C	1	1	0	0	24
ENSG00000129204	TCGA-THCA	USP6	1	1	0	0	24
ENSG00000138336	TCGA-KIRP	TET1	1	1	0	0	24
ENSG00000141736	TCGA-KIRP	ERBB2	1	1	0	1	24
ENSG00000173575	TCGA-SARC	CHD2	1	1	0	0	24
ENSG00000111642	TCGA-KICH	CHD4	1	1	0	0	24
ENSG00000055609	TCGA-OV	KMT2C	1	1	0	0	24
ENSG00000160201	TCGA-UCEC	U2AF1	1	1	0	0	24
ENSG00000171862	TCGA-KICH	PTEN	1	1	0	1	24
ENSG00000133895	TCGA-ACC	MEN1	1	1	0	0	24
ENSG00000121879	TCGA-SARC	PIK3CA	1	1	0	1	24
ENSG00000085185	TCGA-SARC	BCORL1	1	1	0	0	24
ENSG00000109670	TCGA-BLCA	FBXW7	1	1	0	1	24
ENSG00000069943	TCGA-UVM	CACNA2D2	0	0	0	0	24
ENSG00000105523	TCGA-MESO	CCDC70	0	0	0	0	24
ENSG00000157764	TCGA-KIRP	BRAF	1	1	0	1	23
ENSG00000171862	TCGA-KIRP	PTEN	1	1	0	1	23
ENSG00000186575	TCGA-KIRP	NF2	1	1	0	0	23
ENSG00000153201	TCGA-PCPG	RANBP2	1	1	0	0	23
ENSG00000131941	TCGA-THCA	RHPN2	1	1	0	0	23
ENSG00000100393	TCGA-BLCA	EP300	1	1	0	0	23
ENSG00000174775	TCGA-PRAD	HRAS	1	1	0	1	23
ENSG00000103197	TCGA-BLCA	TSC2	1	1	0	1	23
ENSG00000133703	TCGA-BLCA	KRAS	1	1	0	1	23
ENSG00000185920	TCGA-SARC	PTCH1	1	1	0	0	23
ENSG00000134769	TCGA-MESO	BCAP29	0	0	0	0	23
ENSG00000173575	TCGA-BLCA	CHD2	1	1	0	0	23
ENSG00000091831	TCGA-SARC	ESR1	1	1	0	0	23
ENSG00000141736	TCGA-OV	ERBB2	1	1	1	1	23
ENSG00000167548	TCGA-OV	KMT2D	1	1	0	1	23
ENSG00000110092	TCGA-UCEC	CCND1	1	1	0	1	23
ENSG00000167548	TCGA-UCEC	KMT2D	1	1	0	1	23
ENSG00000160007	TCGA-UCEC	ARHGAP35	1	1	0	0	23
ENSG00000148400	TCGA-OV	NOTCH1	1	1	0	0	23
ENSG00000181555	TCGA-LGG	SETD2	1	1	0	0	23
ENSG00000167258	TCGA-OV	CDK12	1	1	0	0	23
ENSG00000162434	TCGA-OV	JAK1	1	1	0	0	23
ENSG00000085224	TCGA-OV	ATRX	1	1	0	0	23
ENSG00000157388	TCGA-OV	CACNA1D	1	1	0	0	23
ENSG00000204217	TCGA-STAD	BMPR2	1	0	0	0	23
ENSG00000091831	TCGA-LUSC	ESR1	1	1	0	0	23
ENSG00000147889	TCGA-SARC	CDKN2A	1	1	0	1	23
ENSG00000140396	TCGA-LUSC	NCOA2	1	1	0	0	23
ENSG00000147724	TCGA-LUSC	FAM135B	1	1	0	0	23
ENSG00000213281	TCGA-UCEC	NRAS	1	1	0	1	23
ENSG00000162063	TCGA-THCA	TRIM4	0	0	0	0	23
ENSG00000178913	TCGA-KIRC	SLC18A3	0	0	0	0	23
ENSG00000115414	TCGA-LUSC	FN1	1	0	0	0	22
ENSG00000051341	TCGA-LUSC	POLQ	1	1	0	0	22
ENSG00000083857	TCGA-LUSC	FAT1	1	1	0	0	22
ENSG00000099994	TCGA-LUSC	SUSD2	1	0	0	0	22
ENSG00000148737	TCGA-COAD	TCF7L2	1	1	0	0	22
ENSG00000171862	TCGA-COAD	PTEN	1	1	0	1	22
ENSG00000272333	TCGA-SARC	KMT2B	1	1	0	0	22
ENSG00000183337	TCGA-COAD	BCOR	1	1	0	0	22
ENSG00000178104	TCGA-THCA	PDE4DIP	1	0	0	0	22
ENSG00000083168	TCGA-KIRP	KAT6A	1	1	0	0	22
ENSG00000121879	TCGA-KIRP	PIK3CA	1	1	0	1	22
